,Name,Address,Age,Type,Area1,Area2,Rooms,FloorNum,Tags,Price
121,中山國中國泰美廈國泰榮星,台北市中山區復興北路,43.1年,華廈/辦公,建坪 31.54,主+陽 31.54,3房2廳2衛1室,3樓/7樓,"['有裝潢', '有景觀', '前後陽台']","2,800"
122,安和捷運三房車位通化新城,台北市大安區樂利路,21.0年,華廈,建坪 55.73,主+陽 33.33,3房2廳2衛,1樓/8樓,"['有裝潢', '前後陽台', '有陽台']","4,500"
123,花開景觀二加一房花開並蒂,台北市文山區興隆路二段,26.0年,大樓,建坪 26.76,主+陽 21.19,2房2廳1衛1室,7樓/15樓,"['有裝潢', '有景觀', '有陽台']","1,980"
124,南京方正採光公寓,台北市松山區南京東路五段,46.9年,公寓,建坪 40.08,主+陽 40.08,3房2廳2衛,5樓/5樓,"['有裝潢', '有景觀', '前後陽台']","2,480"
125,新﹞敦南純白行館縱橫天廈,台北市大安區四維路,7.6年,大樓,建坪 111.76,主+陽 47.98,3房2廳3衛,4樓/11樓,"['有裝潢', '有景觀', '前後陽台']","10,900"
126,好案捷運翡冷翠翡冷翠,台北市中山區民生東路二段,40.8年,華廈/套房,建坪 14.11,主+陽 10.53,1房1廳1衛,2樓/7樓,"['有裝潢', '有陽台', '房間皆有窗']",777
127,松勤玖號１０１新世界,台北市信義區松勤街,13.0年,大樓,建坪 40.63,主+陽 --,1房1廳1衛,16樓/19樓,"['有裝潢', '有景觀', '廁所開窗']","5,000"
128,信義獨家文山行旅文山行旅,台北市文山區木新路三段,10.7年,大樓,建坪 56.95,主+陽 25.75,3房2廳2衛,4樓/13樓,"['有裝潢', '有景觀', '前後陽台']","3,300"
129,松江捷運邊間美屋松江smile,台北市中山區四平街,19.3年,華廈,建坪 14.27,主+陽 7.23,1廳0衛,8樓/10樓,"['有裝潢', '有景觀', '警衛管理']","1,268"
130,大湖緣3房別錯過文心大湖緣,台北市內湖區民權東路六段,27.2年,華廈,建坪 40.61,主+陽 27.36,3房2廳1.5衛,4樓/7樓,"['有裝潢', '前後陽台', '有陽台']","2,788"
131,文山月桂莊園2房太平洋盛宴月桂區,台北市文山區興隆路二段,6.4年,大樓,建坪 28.93,主+陽 19.4,2房2廳1衛,3樓/13樓,"['有裝潢', '有景觀', '有陽台']","1,828"
132,寶金芝玉樹景四房寶金芝玉大樓,台北市士林區芝玉路二段,22.8年,華廈,建坪 81.37,主+陽 46.67,4房2廳2衛,2樓/10樓,"['有裝潢', '前後陽台', '有陽台']","5,580"
